"","title","message","impressions","paid_for_by","advertiser","page","date"
"11","Beto O'Rourke","<p>Whether or not we defeat Ted Cruz all comes down to turnout. We need to know how many voters will show up and cast ballots for Beto on Election Day. If you’re with us, can you add your information here to tell us you’re committed to vote in November?</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-27
"12","Beto O'Rourke","<p>The latest poll shows Beto within one point of Senator Ted Cruz -- one of the NRA’s favorite politicians. Now, the NRA is rushing to Cruz’s side, attacking Beto and our campaign. </p><p> We have to fight back. Rush a grassroots contribution to Beto’s campaign right now.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-29
"13","Beto O'Rourke","<p>Look at this new poll: Beto 46, Cruz 50 (MOE: +/- 4%). We have an extremely close race in Texas, and we’re seeing record turnout for early voting all across the state. Right now is the pivotal moment where we can close the gap between us and Cruz. We need to meet the final end-of-month fundraising goal of this campaign. Can you contribute now to help us get over the finish line?</p>",6,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-25
"14","Houston Public Media","<p><a class=""profileLink"" data-hovercard=""https://www.facebook.com/460776160654909"" href=""https://www.facebook.com/BetoORourkeTX16/"">Congressman Beto O'Rourke</a> wants to unseat Texas Senator <a class=""profileLink"" data-hovercard=""https://www.facebook.com/69983322463"" href=""https://www.facebook.com/tedcruzpage/"">Ted Cruz</a>. O’Rourke’s campaign has enjoyed record fundraising success. But to win in Texas, he needs to generate excitement among potential voters.</p>",1,"Houston Public Media","Houston Public Media","https://www.facebook.com/houstonpublicmedia/",2018-07-16
"15","Beto O'Rourke","<p>A brand-new poll shows this election is extremely close -- within the margin of error: Beto 46, Cruz 50. We’ve come so far because we’ve been able to raise the funds necessary to reach millions of Texas voters. Now, it’s time to get out the vote. Since we don’t accept a dime from PACs, corporations, or special interests, we need your help today.</p><p> Chip in $5, $10 or whatever you can afford today to propel our campaign toward victory on November 6.</p>",8,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-23
"16","Beto O'Rourke","<p>Beto is LIVE on a Father's Day march to raise awareness of a tent camp in Tornillo for immigrant kids separated from their parents:</p>",16,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-06-17
"17","Beto O'Rourke","<p>You don’t have to live in Texas to know Ted Cruz shouldn’t be in the U.S. Senate. Will you chip in today to help power Beto O’Rourke’s campaign against Ted Cruz?</p>",1,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2017-09-29
"18","Beto O'Rourke","<p>Unlike Ted Cruz, Beto will work across the aisle in Congress on legislation to protect Net Neutrality. Join our campaign today and help Beto defend Net Neutrality.</p>",2,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-05-21
"19","Beto O'Rourke","<p>Ted Cruz has special interest groups and dark-money PACs in his corner. And now, the Koch brothers are dumping money into Texas to attack Beto too. Our campaign is powered 100% by regular people pitching in what they can afford. </p><p> Can you pitch in right now to have Beto’s back?</p>",6,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-06-02
"20","Beto O'Rourke","<p>The latest poll shows Beto within one point of Senator Ted Cruz -- one of the NRA’s favorite politicians. Now, the NRA is rushing to Cruz’s side, attacking Beto and our campaign. </p><p> We have to fight back. Rush a grassroots contribution to Beto’s campaign right now.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-29
"21","Beto O'Rourke","<p>Ted Cruz <br> Total NRA contributions: over $360,000 in 2016</p><p> Beto O’Rourke <br> Total NRA contributions: $0<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show""><br> Total contributions from ANY PACs: $0</span></p>",4,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-29
"22","Beto O'Rourke","<p>Ted Cruz <br> Total NRA contributions: over $360,000 in 2016</p><p> Beto O’Rourke <br> Total NRA contributions: $0<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show""><br> Total contributions from ANY PACs: $0</span></p>",1,"Beto for Texas","","https://www.facebook.com/betoorourke/",2018-08-29
"23","Beto O'Rourke","<p>Donald Trump just attacked Beto on Twitter and promised to campaign with Ted Cruz in Texas. We need to help Beto stay above the noise and focused on what really matters: fighting for the issues that Texans care about. That’s why I’m asking you to donate right now to help our campaign fight back against these attacks.</p>",1,"Beto for Texas","","https://www.facebook.com/betoorourke/",2018-09-07
"24","End Citizens United","<p>WE’RE IN HEAVEN: Beto O’Rourke is ONLY down 1% in the latest poll [!!!] We are SO CLOSE to defeating Ted Cruz! BUT: Cruz’s SuperPAC is plowing Texas TV with $75O,OOO of nasty attacks -- so we need a surge of donations to take the lead.  Will you rush a donation NOW?</p>",1,"End Citizens United","End Citizens United","https://www.facebook.com/EndCitizensUnitedPAC/",2018-09-19
"25","Gun Owners of America","<p>There's a stark difference between <a class=""profileLink"" data-hovercard=""https://www.facebook.com/69983322463"" href=""https://www.facebook.com/tedcruzpage/"">Ted Cruz</a> and his Senate challenger, Beto O'Rourke. </p><p> Stand with Ted Cruz: <a href=""https://gunowners.me/SupportTed"">https://gunowners.me/SupportTed</a></p>",0,"Gun Owners of America","Gun Owners of America","https://www.facebook.com/GunOwners/",2018-08-25
"26","Beto O'Rourke","<p>The Koch brothers are gearing up to spend millions in ads attacking Beto and our movement. Chip in now to help our people-powered campaign fight back against special interests.</p>",1,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-06-24
"27","Beto O'Rourke","<p>Come enjoy music and entertainment with Congressman Beto O'Rourke in San Antonio! Beto wants to meet you and share details on how we can keep Texas moving forward. Please join us to talk about this historic race for the US Senate.</p><p> With special guest Julian Castro! <br> --------<br> Acompaña a Beto O'Rourke para un evento con música y entretenimiento en San Antonio! Beto te quiere conocer para compartir detalles sobre su candidatura para el Senado. Habra entretenimiento y musica para <span class=""text_exposed_hide"">...</span><span class=""text_exposed_show"">la familia!</span></p><p> Con invitado especial Julian Castro!</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-12
"28","Beto O'Rourke","<p>Let’s meet the pettiness, the bigotry, the anxiety that dominates so much of national life today, with a courage, a strength, a big heart, that could only be born of Texas. </p><p> That’s why Beto O’Rourke is running for U.S. Senate to represent every Texan from each and every one of our state’s 254 counties.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-03
"29","Beto O'Rourke","<p>Are you voting in the general election for U.S. Senate on November 6?</p><p> This is Osmara, a member of our staff. Here's why she's supporting Beto:</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-09
"30","Beto O'Rourke","<p>Join us for an organizing rally where we will meet fellow supporters in the area, hear a special update from the campaign, and leave with specific next steps on how every person can get to work to elect Beto! (Note: Beto will not be in attendance)</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-28
"31","David Baria for Mississippi","<p>Being a Democrat in Mississippi up against some of the most powerful corporate PAC dollars in the country is tough. My opponent, Roger Wicker, has over $3 million cash-on-hand, and over half of that money comes from corporate, special-interest PACs looking to maintain their power in Mississippi. </p><p> I have rejected corporate PAC money because I’m serious about unrigging our system so politics can truly be by the people, for the people. I’m proud to announce that I’ll be joining the likes of likes of Beto O'Rourke, Gary Trauner, and Jane Raybould as an End Citizens United endorsed candidate who will reject corporate PAC money! Be a part of the small dollar revolution taking back our country from corporate special interests. Make a contribution of $10 today.</p>",2,"Baria for Mississippi","David Baria for Mississippi","https://www.facebook.com/davidbaria/",2018-09-19
"32","Progress Texas","<p>BREAKING: New polling shows Beto O'Rourke and Ted Cruz in a dead heat. Get your Humans Against Ted Cruz sticker! All donations go to our efforts to get out the vote and defeat Ted Cruz this November.</p><p> Donate &gt;&gt; <a href=""https://bit.ly/2MDIzSU"">http://bit.ly/2MDIzSU</a></p>",6,"Progress Texas","Progress Texas","https://www.facebook.com/ProgressTexas/",2018-08-27
"33","Beto O'Rourke","<p>Whether or not we defeat Ted Cruz all comes down to turnout. We need to know how many voters will show up and cast ballots for Beto on Election Day. If you’re with us, can you add your information here to tell us you’re committed to vote in November?</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-20
"34","Beto O'Rourke","<p>Our grassroots campaign is stepping up to take on Ted Cruz in epic numbers. Together, we surpassed our fundraising goal in response to Cruz’s negative attack ads. Now, we’re building on our momentum on the ground with thousands of voter contact events. Click through to sign up for a voter contact event for Beto near you. ↓</p>",3,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-17
"35","Beto O'Rourke","<p>Ted Cruz <br> Total NRA contributions: over $360,000 in 2016</p><p> Beto O’Rourke <br> Total NRA contributions: $0<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show""><br> Total contributions from ANY PACs: $0</span></p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-29
"36","Beto O'Rourke","<p>As we enter the final weeks of the election, we need to get on the same page about the work we have to do to win. The Plan to Win Tour is a series of regional volunteer trainings where we’ll walk through our campaign strategy and pathway to victory in detail.</p><p> Whether you’ve been hard at work for months or are just getting involved for the first time, join us at Plan to Win Austin to talk through our strategy and the role that volunteers have to play in helping Beto win.</p><p> We wi<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show"">ll break out into groups to make action plans for our own communities, have the opportunity to immediately participate in voter contact work, and leave with specific next steps on how every Texan can get to work to elect Beto as early voting approaches.</span></p><p> (Please note: Beto will not be in attendance)</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-06
"37","Sean Patrick Maloney","<p>Tune in for an important message from my friend <a class=""profileLink"" data-hovercard=""https://www.facebook.com/223055747744143"" href=""https://www.facebook.com/betoorourke/"">Beto O'Rourke</a>:</p>",1,"Maloney for New York","Sean Patrick Maloney","https://www.facebook.com/MaloneyforNYAG/",2018-09-12
"38","Beto O'Rourke","<p>Whether or not we defeat Ted Cruz all comes down to turnout. We need to know how many voters will show up and cast ballots for Beto on Election Day. If you’re with us, can you add your information here to tell us you’re committed to vote in November?</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-28
"39","Beto O'Rourke","<p>Beto wants to meet you in your community so you can cast your early vote. Join him in Irving and we'll head over to a nearby polling place to cast our ballots in this historic race for U.S. Senate! Bring your friends and family!</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-21
"40","End Citizens United","<p>Ted Cruz’s campaign is SINKING! Beto O'Rourke is BARELY behind in the latest poll. If true Democrats send a wave of donations to Beto before this week’s budget deadline, we’ll totally FINISH Ted Cruz!! So stop what you're doing and send Beto $5 to DESTROY Ted Cruz:</p>",2,"","End Citizens United","https://www.facebook.com/EndCitizensUnitedPAC/",2018-05-31
"41","National Horizon Action","<p>Do Texans really know how liberal Beto O'Rourke is? Help spread the word by sharing this website!</p>",2,"National Horizon. Not authorized by any candidate or candidate's committee.","National Horizon Action","https://www.facebook.com/nationalhorizonaction/",2018-10-07
"42","Beto O'Rourke","<p>Election Day is less than a month away, and we’re on track to make this one of the highest turnout elections in Texas history, but only if we can keep reaching our goals through October and connecting new voters with our message NOW. Beto’s campaign remains powered by people, not PACs, so your donations really do make a difference. Chip in today and help us win &gt;&gt;</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-10
"43","Beto O'Rourke","<p>Are you voting in the general election for U.S. Senate on November 6?</p><p> This is Stuart, a member of our staff. Here's why he's supporting Beto:</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-09-26
"44","End Citizens United","<p>Ted Cruz JUST released a wave of attack ads against Beto O’Rourke -- and it’s BAD!! Cruz is TERRIFIED that Beto will demolish him in November. So he is resorting to nasty lies! If we don’t fight back, voters will never know the truth! And Beto will LOSE. But we need help from Democrats like you to survive. Rush $10 NOW to DESTROY Ted Cruz!!</p>",1,"End Citizens United","End Citizens United","https://www.facebook.com/EndCitizensUnitedPAC/",2018-09-13
"45","Beto O'Rourke","<p>This is a landmark moment in our campaign. Beto and Ted Cruz face off in their next debate and people everywhere will be watching. You’ll get to see where they stand on the issues that matter to Texas families -- and what’s on the line in this election. Show Beto you have his back with a donation of $5 or more today.</p>",9,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"46","Beto O'Rourke","<p>Come join Congressman Beto O'Rourke for a Town Hall in Channelview! Beto wants to meet you and share details on how we can keep Texas moving forward. Please join us to talk about this historic race for the US Senate. <br> -------- <br> Acompaña al Congresista Beto O'Rourke para una junta comunitaria en Channelview! Beto te quiere conocer y compartir detalles sobre su candidatura para el Senado. No te lo pierdas!</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-16
"47","Beto O'Rourke","<p>BREAKING: a new Texas-Lyceum poll has the race neck-and-neck: TED CRUZ 41% - BETO 39%. The political insiders once said Ted Cruz could never lose in Texas. Now, we’re just two points away.</p><p> Our strategy is working, but we need more resources to spread the word about Beto in parts of Texas that don’t know him as well yet. This campaign is funded 100% by people — we accept no money from corporations or PACs. Can you chip in right now to help us defeat Ted Cruz?</p>",7,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-02
"48","Beto O'Rourke","<p>A brand-new poll shows this election is extremely close -- within the margin of error: Beto 46, Cruz 50. We’ve come so far because we’ve been able to raise the funds necessary to reach millions of Texas voters. Now, it’s time to get out the vote. Since we don’t accept a dime from PACs, corporations, or special interests, we need your help today.</p><p> Chip in $5, $10 or whatever you can afford today to propel our campaign toward victory on November 6.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-25
"49","Beto O'Rourke","<p>Beto O’Rourke won’t take a dime from PACs or special interests in his race to unseat Ted Cruz. Every donation really does matter, and with your help, we’ll have the resources to win this race. </p><p> Make a contribution to our campaign today for Texas.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-21
"50","Beto O'Rourke","<p>The only way we’re going to win in November is by talking to a LOT of Texans -- and that means knocking on doors and making phone calls for Beto. We’re empowering volunteers in communities across the state to host events for Beto, and there are some coming up near you!</p><p> Talking to voters will make all the difference in this race. Join a block walk or phonebank for Beto in your community today. ↓</p>",6,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-17
"51","National Horizon Action","<p>Do Texans really know how liberal Beto O’Rourke is? Help spread the word by sharing this website!</p>",2,"National Horizon. Not authorized by any candidate or candidate's committee.","National Horizon Action","https://www.facebook.com/nationalhorizonaction/",2018-10-19
"52","Beto O'Rourke","<p>Texas deserves a Senator who will represent all Texans, not just the wealthy and powerful. Beto is for everyone - and  it’s on us to show him we’ve got his back. </p><p> We’ve set a goal to reach before Beto takes the stage on Tuesday against Ted Cruz. Can you chip in to help us get there?</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"53","Beto O'Rourke","<p>We’ve built this campaign together, person-by-person, throughout the state of Texas. Our staff, volunteers, and supporters are making sure that Beto’s message is spreading across all 254 counties. But in order to win, we need everyone to step up and talk to voters. There are many opportunities to join a local phonebank or block walk for Beto -- please find one near you:</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"54","Beto O'Rourke","<p>BREAKING - the latest poll shows that we’re in a dead heat with Ted Cruz. Check out these numbers from GBS Strategies:<br> Beto: 46%<br> Ted Cruz: 50%</p><p> When we kicked off our campaign for Senate over a year ago, some people said we didn’t stand a chance -- especially if we refused to take contributions from the PACs that usually fund big Senate campaigns. Since then, we’ve built a powerful grassroots campaign that’s reached hundreds of thousands of voters in all 254 counties of our st<span class=""text_exposed_hide"">...</span><span class=""text_exposed_show"">ate.</span></p><p> We know we can win in November, but only if we can keep up the momentum and reach the remaining voters who are still undecided. Can you pitch in $10 to help power us to victory?</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-25
"55","Beto O'Rourke","<p>Ted Cruz has special interest groups and dark-money PACs in his corner. And now, the Koch brothers are dumping money into Texas to attack Beto too. Our campaign is powered 100% by regular people pitching in what they can afford. </p><p> Can you pitch in right now to have Beto’s back?</p>",5,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-05-27
"56","Beto O'Rourke","<p>It’s Beto vs. Cruz in the second debate of our campaign tomorrow! Pitch in right now to show Beto you’ve got his back.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"57","Beto O'Rourke","<p>We’ve built this campaign together, person-by-person, throughout the state of Texas. Our staff, volunteers, and supporters are making sure that Beto’s message is spreading across all 254 counties. But in order to win, we need everyone to step up and talk to voters. There are many opportunities to join a local phonebank or block walk for Beto -- please find one near you:</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-16
"58","Beto O'Rourke","<p>Beto was just endorsed by <a class=""profileLink"" href=""https://www.facebook.com/humanrightscampaign/"">Human Rights Campaign</a>, the largest national LGBTQ civil rights organization! </p><p> Add your name to stand with Beto for equality today.</p>",1,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-04-17
"59","Beto O'Rourke","<p>The Koch brothers are gearing up to spend millions in ads attacking Beto and our movement. Chip in now to help our people-powered campaign fight back against special interests.</p>",1,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-06-29
"60","Beto O'Rourke","<p>Join us for an organizing rally where we will meet fellow supporters in the area, hear a special update from the campaign, and leave with specific next steps on how every person can get to work to elect Beto!</p><p> (Note: Beto will not be in attendance)</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-22
"61","Beto O'Rourke","<p>Join us for an organizing rally where we will meet fellow supporters in the area, hear a special update from the campaign, and leave with specific next steps on how every person can get to work to elect Beto! Please note Beto will not be in attendance.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-22
"62","Beto O'Rourke","<p>Ted Cruz has special interest groups and dark-money PACs in his corner. And now, the Koch brothers are dumping money into Texas to attack Beto too. Our campaign is powered 100% by regular people pitching in what they can afford. </p><p> Can you pitch in right now to have Beto’s back?</p>",18,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-06-01
"63","Beto O'Rourke","<p>BREAKING: a brand-new poll from NBC shows Beto just four points behind Ted Cruz. This is the fourth poll in the last month that’s shown Beto within single digits of Cruz. But now, outside groups—including Mitch McConnell’s super PAC—are threatening to spend millions in Texas to erase our progress. Beto needs your support right now. Can you contribute $3 or more to our campaign today?</p>",6,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-23
"64","Beto O'Rourke","<p>Beto won last night’s debate, and now Trump is trying to save the day by playing clean up crew for Cruz. Not on our watch! Stand with Beto right now: </p><p> Beto has done everything he can to represent all of us in this campaign for Texas -- to present a positive vision, to make us proud of what this grassroots campaign is doing in all 254 counties  --and  without a dime from PACs, special interests, and corporations.</p><p> Cruz is turning to Trump for help. We’re turning to you.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-17
"65","Beto O'Rourke","<p>The Koch brothers are opening up their massive bank accounts to fund ads directly attacking Beto. Chip in now to help our people-powered campaign fight back &gt;&gt;</p>",1,"","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-05-27
"66","Beto O'Rourke","<p>Beto wants to meet you in your community so you can cast your early vote. Join him in Houston and we'll head over to a nearby polling place to cast our ballots in this historic race for U.S. Senate! Bring your friends and family!</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-21
"67","Beto O'Rourke","<p>Ted Cruz just called in reinforcements from the White House, holding a private event with Mike Pence for donors who paid as much as $10,000 to attend.  Meanwhile, Beto just wrapped up another statewide tour, this time visiting crowds of fired-up Texas college students. </p><p> It’s clear that our people-powered campaign is giving Cruz and his team a run for their money. If we stay focused on listening to everyday people in all 254 Texas counties, Beto can win. Chip in today to help Beto reach the voters we need to defeat Ted Cruz.</p>",3,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-10
"68","Beto O'Rourke","<p>ANOTHER Super PAC just dropped $1 million in new ads attacking Beto. We didn’t expect an eleventh PAC to get in the race this late. But they have, and now we need to move quickly to reach every voter in Texas. We can win this race, but only with your support right now.</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-10
"69","Beto O'Rourke","<p>This year, Texans have an opportunity to rethink the future of our immigration system and pursue comprehensive reform. If you’re ready for an immigration system that is based our shared values, cast your vote for Beto O’Rourke.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-28
"70","Beto O'Rourke","<p>Look at this new poll: Beto 46, Cruz 50 (MOE: +/- 4%). We have an extremely close race in Texas, and we’re seeing record turnout for early voting all across the state. Right now is the pivotal moment where we can close the gap between us and Cruz. We need to meet the final end-of-month fundraising goal of this campaign. Can you contribute now to help us get over the finish line?</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-25
"71","Beto O'Rourke","<p>Look at this new poll: Beto 46, Cruz 50 (MOE: +/- 4%). We have an extremely close race in Texas, and we’re seeing record turnout for early voting all across the state. Right now is the pivotal moment where we can close the gap between us and Cruz. We need to meet the final end-of-month fundraising goal of this campaign. Can you contribute now to help us get over the finish line?</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-25
"72","Beto O'Rourke","<p>Beto O’Rourke won’t take a dime from PACs or special interests in his race to unseat Ted Cruz. Every donation really does matter, and with your help, we’ll have the resources to win this race. </p><p> Make a contribution to our campaign today for Texas.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-25
"73","Beto O'Rourke","<p>Welcome to your Beto Pop-up Office! This is where you can sign up to knock doors and make phone calls to get out the vote for Beto. Check below for available times, sign up for the days you can come in to volunteer, and we'll reach out to you with all of the details! Plan to come to one of the listed trainings before getting to work, and stick around for a full 3 hour shift if possible.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-20
"74","Beto O'Rourke","<p>Welcome to your Beto Pop-up Office, Oak Lawn Heights! This is where you can sign up to knock doors and make phone calls to get out the vote for Beto. Check below for available times, sign up for the days you can come in to volunteer, and we'll reach out to you with all of the details! Please plan to come to one of the listed trainings at the start of each shift, and stick around for a full 3 hours if possible.</p>",2,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-18
"75","Beto O'Rourke","<p>Our grassroots campaign is stepping up to take on Ted Cruz in epic numbers. Together, we surpassed our fundraising goal in response to Cruz’s negative attack ads. Now, we’re building on our momentum on the ground with thousands of voter contact events. Click through to sign up for a voter contact event for Beto near you. ↓</p>",13,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-08-21
"76","Beto O'Rourke","<p>It’s unacceptable that nearly half of Texas teachers have to work a second job to make ends meet. Beto is working to adequately fund our public schools, pay teachers a living wage, and empower teachers to teach to their students, not tests. Vote Beto for Senate and together, let’s create an education system that makes Texas proud.</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-24
"77","Beto O'Rourke","<p>Beto wants to meet you in your community so you can cast your early vote. Join him in Austin and we'll head over to a nearby polling place to cast our ballots in this historic race for U.S. Senate! Bring your friends and family!</p>",1,"Beto for Texas","Beto O'Rourke","https://www.facebook.com/betoorourke/",2018-10-24
"78","End Citizens United","<p>WE’RE IN HEAVEN: Beto O’Rourke is ONLY down 1% in the latest poll [!!!] We are SO CLOSE to defeating Ted Cruz! BUT: Cruz’s SuperPAC is plowing Texas TV with $75O,OOO of nasty attacks -- so we need a surge of donations to take the lead.  Will you rush a donation NOW?</p>",5,"End Citizens United","End Citizens United","https://www.facebook.com/EndCitizensUnitedPAC/",2018-10-13
