headline,section,date
He started asking me how I had liked it when he touched my breasts': Gretchen Carlson says harassment began before Roger Ailes,Politics,10/16/2017
Two swing-state Democrats offer middle ground on health care,Politics,10/16/2017
Manchin calls on Trump to withdraw Marino’s nomination as drug czar in wake of Post/‘60 Minutes’ probe,Politics,10/16/2017
Fact-checking attack ads on both sides of the Virginia governor's race,Politics,10/16/2017
Marsha Blackburn draws campaign fire for shepherding bill that undercut DEA,Politics,10/16/2017
EPA Administrator Pruitt issues directive to curb settlements with outside groups,Politics,10/16/2017
Trump: 'Drug companies frankly are getting away with murder',Politics,10/16/2017
Trump says 'total termination' of Iran deal is 'very real possibility',Politics,10/16/2017
"Trump defends majority of GOP lawmakers, but also sympathizes with Bannon",Politics,10/16/2017
Trump basically endorsed Bannon's war on McConnell and the Republican establishment,Politics,10/16/2017
The Fox News president,Politics,10/16/2017
Trump's quote on shifting blame just about says it all,Politics,10/16/2017
Trump: 'We're not getting the job done',Politics,10/16/2017
Trump says he has ‘outstanding’ relationship with McConnell,Politics,10/16/2017
Trump: ‘We’re going to be looking into Tom’ Marino,Politics,10/16/2017
Trump blames Castro regime for injuries to U.S. diplomats: 'I do believe Cuba is responsible',Politics,10/16/2017
"Criticized for not commenting on soldiers killed in action, Trump falsely says Obama did even less",Politics,10/16/2017
"Trump hints he might try to get Bannon to back off, as he seeks to project unity with McConnell",Politics,10/16/2017
"She claimed tall, blond aliens kidnapped her as a child. Now she's running for Congress.",Politics,10/16/2017
Trump called on Fox News three times and crushed a softball about Clinton and NFL protests,Politics,10/16/2017
President Trump and Mitch McConnell's reality-defying kumbaya at the White House,Politics,10/16/2017
"Hillary, please run!' Trump jokes, says 'whole Russia thing' was an excuse for Democrats' 2016 loss",Politics,10/16/2017
Trump steps back onto the campaign trail with appearance in South Carolina,Politics,10/16/2017
"Trump's dumbfounding, expansive press conference with Mitch McConnell, annotated",Politics,10/16/2017
Trump calls sexual harassment claims 'fake news' and 'disgraceful',Politics,10/16/2017
Roy Moore's Senate campaign gets Twitter to delete thousands of fake followers,Politics,10/16/2017
"Trump’s news conference, in three minutes",Politics,10/16/2017
Trump slams Obamacare and outlines his path for health care,Politics,10/17/2017
"Key senators reach bipartisan health-care subsidy deal, and Trump expresses support",Politics,10/17/2017
Trump's cynically bad justification for his controversial Obamacare move,Politics,10/17/2017
Trump backs 'short-term' bipartisan health-care deal in the Senate,Politics,10/17/2017
Murray says bipartisan deal would fund health-care subsidies,Politics,10/17/2017
Schumer: GOP will use ‘meat-ax’ on Medicare and Medicaid,Politics,10/17/2017
"When Nazis rallied in Manhattan, one working-class Jewish man from Brooklyn took them on",Politics,10/17/2017
Trump's joke about Mike Pence affirms the long-held concerns of many in the LGBT community,Politics,10/17/2017
GOP health insurance plan for feds part of larger assault on compensation,Politics,10/17/2017
"Longtime foes on foreign policy, McCain and Biden form alliance against Trumpism",Politics,10/17/2017
Yet more reason for Republicans to start panicking about 2018,Politics,10/17/2017
Why a bipartisan deal to prop up Obamacare may be over before it's begun,Politics,10/18/2017
"Twitter, please give Trump 280 characters so he can spend more time working",Politics,10/18/2017
"Jimmy Kimmel says he is willing to lose Republican viewers, but his ratings are going up",Politics,10/18/2017
Sen. Alexander gives Trump 'full credit' for bipartisan health deal,Politics,10/18/2017
Insurers say Trump is spiking premiums. Republicans want a second opinion.,Politics,10/18/2017
Trump on tax reform: 'We will go from one of the highest taxed nations in the world to one of the lowest taxed',Politics,10/18/2017
Trump on Rep. Wilson's claim: 'I did not say what she said',Politics,10/18/2017
"Hours after trashing Democrats on taxes, Trump says he wants their help on a tax bill",Politics,10/18/2017
Give me a break': Sessions gets heated with Franken over his shifting Russia denials,Politics,10/18/2017
"Yet again, Trump's defensiveness makes his handling of a gold-star family's grief worse",Politics,10/18/2017
That's a dumb question': It's no surprise that John McCain's frustration with Fox News boiled over,Politics,10/18/2017
Sessions says he can't 'make a blanket commitment' not to jail journalists,Politics,10/18/2017
Sarah Huckabee Sanders just admitted Trump's 'proof' doesn't exist,Politics,10/18/2017
Trump’s travel ban keeps getting blocked. What happens now?,Politics,10/18/2017
Trump's mixed messages on the bipartisan health-care deal,Politics,10/18/2017
Former Trump campaign chief Lewandowski huddles with Senate investigators,Politics,10/18/2017
"Early 2020 poll of New Hampshire finds Sanders, Biden, Warren on top",Politics,10/18/2017
Women are asking men in politics to step up in the fight against sexual harassment,Politics,10/18/2017
White House decries 'politicized' death of chief of staff's son — which Trump thrust into the spotlight,Politics,10/18/2017
Trump White House debates presidential visit to demilitarized zone along North Korean border,Politics,10/18/2017
How the Senate Judiciary Committee grilled Jeff Sessions,Politics,10/18/2017
‘You’ll find out’: How Trump backs up controversial claims,Politics,10/18/2017
"Trump offered a grieving military father $25,000 in a phone call",Politics,10/18/2017
Republican Senate candidate Roy Moore says kneeling during the anthem is against the law,Politics,10/18/2017
We've ID'd the mystery woman in those Melania-Trump-impostor rumors. (It's Melania Trump.),Politics,10/18/2017
"When power protects: In Hollywood and politics, a history of hiding abuse",Politics,10/18/2017
The furor around Trump's call to a soldier's widow,Politics,10/18/2017
Fact Check: Have insurance companies profited from Obamacare?,Politics,10/19/2017
President Trump's false claim that insurance companies 'have made a fortune' from Obamacare,Politics,10/19/2017
The Trump White House's utterly unmoored week,Politics,10/19/2017
This new poll shows that populism doesn't stem from people's economic distress,Politics,10/19/2017
The Daily 202: What Jeff Sessions wouldn’t say was more revealing than what he did,Politics,10/19/2017
Trump and the NFL are both winning — and losing — this culture war,Politics,10/19/2017
The Finance 202: Democrats want to make budget vote all about GOP's tax headaches,Politics,10/19/2017
The Health 202: Obamacare's 2018 rates are already baked,Politics,10/19/2017
The Energy 202: Western wildfires spark compromise on firefighting in Washington,Politics,10/19/2017
Trump suggests FBI may have ‘paid for’ dossier alleging Russia ties,Politics,10/19/2017
Schumer lays out Democrats' path to opposing the GOP's budget,Politics,10/19/2017
A Texas congresswoman said women are just as responsible for preventing sexual assault,Politics,10/19/2017
"Making sense of Russia, uranium and Hillary Clinton",Politics,10/19/2017
How much the government has given the family of a fallen soldier since 1908,Politics,10/19/2017
George W. Bush's unmistakable takedown of Trumpism — and Trump,Politics,10/19/2017
"George W. Bush's anti-Trump manifesto, annotated",Politics,10/19/2017
Watch George W. Bush's full 'Spirit of Liberty' speech,Politics,10/19/2017
George W. Bush demonstrates the problem with trying to criticize Trump while winning over his voters,Politics,10/19/2017
Trump gives Puerto Rico response a grade of 10 out of 10,Politics,10/19/2017
Trump to meet with Senate Republicans on Capitol Hill next week,Politics,10/19/2017
"George W. Bush's ardent speech on democracy, in 3 minutes",Politics,10/19/2017
"The Melania Trump impostor rumor, according to the Internet",Politics,10/19/2017
Backers of bill to stabilize ACA show broad support-but still must win over Trump,Politics,10/19/2017
Trump rates his Puerto Rico handling a 10 out of 10. America rates it a 4.,Politics,10/19/2017
"Trump’s chief of staff, whose son died in combat, defends president’s call to Gold Star widow",Politics,10/19/2017
Is Richard Spencer a white nationalist or a white supremacist? It depends on the news source.,Politics,10/19/2017
"Republicans have the budget votes they need, but Democrats prepare to make it painful",Politics,10/19/2017
Kelly tells reporters to remember those serving in the military,Politics,10/19/2017
"John Kelly's fiery defense of Trump's shot at Obama and Gold Star phone call, annotated",Politics,10/19/2017
McCain threatens to subpoena Trump aides for information on Niger attack that left four troops dead,Politics,10/19/2017
Trump gave himself a '10' on Puerto Rico. Then he tried to get its governor to do the same.,Politics,10/19/2017
The Jenners have caught up with the Kardashians,Politics,10/19/2017
Tiberi’s departure from Congress shows mounting challenge for Republicans,Politics,10/19/2017
What John Kelly got wrong about Rep. Frederica Wilson and the Johnson family,Politics,10/19/2017
How Trump is grappling with Bannon's war on the GOP establishment,Politics,10/19/2017
Trump on budget plan: 'I think we have the votes',Politics,10/19/2017
Health insurers’ most pressing concern right now? Consumer confusion,Politics,10/19/2017
DNC reshuffle has some worrying about a 'purge',Politics,10/19/2017
Watch a Gold Star family react to Trump's phone call,Politics,10/19/2017
George W. Bush comes out of retirement to deliver a veiled rebuke of Trump,Politics,10/19/2017
Senate passes Republican-proposed budget,Politics,10/19/2017
"Making sense of Russia, Uranium One and Hillary Clinton, as Congress opens an investigation",Politics,10/19/2017
Timeline: James Comey's decision-making on the Clinton probe,Politics,10/20/2017
Can President Trump solve the opioid crisis?,Politics,10/20/2017
The Daily 202: Obama and Bush deliver calls to action against Trumpism,Politics,10/20/2017
The Energy 202: Sens. Cantwell and Murkowski generally get along. But Caribou have gotten in the way.,Politics,10/20/2017
"The Finance 202: Now, the hard part: Writing a tax bill",Politics,10/20/2017
The Health 202: Obamacare insurers grapple with deep uncertainty,Politics,10/20/2017
Megadonor Tom Steyer launches TV ad campaign for Trump impeachment,Politics,10/20/2017
"Trump misrepresents British crime statistics by blaming 'Islamic terror,' U.K. critics say",Politics,10/20/2017
Paul Ryan’s got jokes about President Trump,Politics,10/20/2017
"‘The president’s wingman’: Absent in the West Wing, Bannon stays close to Trump",Politics,10/20/2017
Step one is done. But Republicans are still a long way from a tax bill becoming reality.,Politics,10/20/2017
Republicans are still a long way from their tax bill becoming reality,Politics,10/20/2017
Republicans are still a long way from their tax bill becoming reality,Politics,10/20/2017
"Okay, now Republicans' tax bill is close to becoming reality",Politics,10/20/2017
Trump takes another shot at 'wacky' Florida congresswoman who criticized his condolence call,Politics,10/21/2017
The cascade of missteps that turned one White House error into a messy week,Politics,10/21/2017
"Senators say #MeToo: McCaskill, others share their stories of sexual harassment",Politics,10/21/2017
"Trump likely won't visit Korean demilitarized zone during Asia trip, White House says",Politics,10/23/2017
"Trump is now effectively calling a Gold Star widow a liar, despite the White House not backing him up",Politics,10/23/2017
"Trump says poll about fake news, published by ‘dishonest’ Politico, is real news",Politics,10/23/2017
"Melania Trump's statement against bullying, annotated with President Trump's tweets",Politics,10/23/2017
Trump's critics risk undermining their arguments by not using his name,Politics,10/23/2017
"In Trump's response to Myeshia Johnson, many black women see a pattern",Politics,10/23/2017
Three things to remember about the rhetoric surrounding the Trump tax plan,Politics,10/23/2017
Democrats on Trump’s voter commission say they’re in the dark about what it’s doing,Politics,10/23/2017
EPA may repeal emission standards for truck components,Politics,10/23/2017
Ivanka joins push for tax reform,Politics,10/23/2017
"The 401K plan as it stands will not be touched' by tax plan, says official",Politics,10/23/2017
"The political divide in the United States, animated",Politics,10/23/2017
"Hogan signs order opposing BDS, bars state business with companies that boycott Israel",Politics,10/23/2017
Bill O'Reilly is playing with fire by going after Megyn Kelly and Gretchen Carlson,Politics,10/23/2017
"Mark Cuban and Donald Trump, longtime frenemies, could face off in 2020 presidential race",Politics,10/23/2017
Trump's consistent refrain: There is not now and never will be proof of Russian collusion,Politics,10/23/2017
10 tax reform promises Trump has made,Politics,10/23/2017
John McCain and Trump: A history,Politics,10/23/2017
Pennsylvania sets March 13 special election to replaced disgraced GOP congressman,Politics,10/23/2017
"In sparring with a grieving widow, Trump follows his no-apology playbook",Politics,10/23/2017
A brief history of Trump and Cuban's rivalry,Politics,10/23/2017
What do Republicans want to hear from Trump at lunch? A lot.,Politics,10/23/2017
Trump's consistent refrain: There is not now and never will be proof of Russian collusion,Politics,10/23/2017
"Are there more than 2,000 MS-13 gang members in Virginia's wealthy Fairfax County?",Politics,10/24/2017
Q&#038;A for federal workers: TSP investment limit,Politics,10/24/2017
238 cities are wooing Amazon. The winner may end up with a very bad deal.,Politics,10/24/2017
The Daily 202: Bannon vs. Petraeus on how to defeat Islamic extremism,Politics,10/24/2017
What do Republicans want to hear from Trump at lunch? A lot.,Politics,10/24/2017
The Finance 202: Wall Street is on the verge of its first major win in Trump's Washington,Politics,10/24/2017
Bob Corker's plea to Trump: Just stop talking,Politics,10/24/2017
Greta Van Susteren's new gig: volunteering at Voice of America,Politics,10/24/2017
The Energy 202: Government watchdog wants Trump administration to address price tag of climate change,Politics,10/24/2017
The Health 202: Legalizing assisted suicide has stalled at every level,Politics,10/24/2017
Bannon: 'We’re not looking to transform the world into our values',Politics,10/24/2017
"America's big issue is 'black Africans' killing each other, Sebastian Gorka says",Politics,10/24/2017
"Asked if President Trump is a role model, Sen. Corker says, ""no""",Politics,10/24/2017
"The GOP base doesn't really love Trump. In fact, it likes Pence more.",Politics,10/24/2017
Kid Rock says Senate ‘campaign’ was a stunt,Politics,10/24/2017
Corker: Trump is 'debasing' our nation,Politics,10/24/2017
Nunes announces probe into uranium deal during Obama’s tenure,Politics,10/24/2017
"Trump says tax plan is about 'jobs, jobs, jobs'",Politics,10/24/2017
America First' conservatives like Trump less than do traditional conservatives,Politics,10/24/2017
Bill O’Reilly’s growing list of feuds now includes a fellow accused harasser and God,Politics,10/24/2017
Nunes says he ‘would prefer’ reporters to stop saying he recused himself from Russia probe,Politics,10/24/2017
House leaders launch new probe into Obama-era uranium deal,Politics,10/24/2017
Bob Corker sounds like he's building a case for removing Trump from office,Politics,10/24/2017
"Comey’s secret Twitter, according to the Internet",Politics,10/24/2017
Protester confronts Trump on Capitol Hill,Politics,10/24/2017
The asterisk that accompanies the gains in the stock market: A third of the shares are owned by foreigners,Politics,10/24/2017
"‘Utterly untruthful’: Corker unbound as he attacks Trump over fitness, competence",Politics,10/24/2017
"Sen. Jeff Flake will retire, citing direction of GOP under Trump",Politics,10/24/2017
‘Anger and resentment are not a governing philosophy’: Flake won’t seek reelection,Politics,10/24/2017
"I will not be complicit.' Jeff Flake's retirement speech, annotated",Politics,10/24/2017
Jeff Flake waves a white flag in the face of Trumpism,Politics,10/24/2017
Watch Flake’s full speech announcing his retirement from the Senate,Politics,10/24/2017
The GOP may be as divided across the nation as it is in Washington,Politics,10/24/2017
"Congress approves another round of hurricane, wildfire funding",Politics,10/24/2017
McConnell calls Flake 'a very fine man' and a 'team player',Politics,10/24/2017
McCain says it is ’one of the great honors of my life’ to serve with Flake,Politics,10/24/2017
Senate passes disaster-relief package,Politics,10/24/2017
"The unfair criticism that Flake's anti-Trumpism speech was too little, too late",Politics,10/24/2017
"McConnell: 'If there's anything that unifies republicans, it's tax reform'",Politics,10/24/2017
Uncle Sam is a slacker in policing sexual misconduct in agencies,Politics,10/24/2017
"In Trump's White House, there is no right or wrong. There is only winning or losing.",Politics,10/24/2017
Trump’s former lawyer huddles with House investigators in Russia probe,Politics,10/24/2017
"The NFL player protests, broken down by team and week",Politics,10/24/2017
"‘I will not be complicit or silent’: Flake’s retirement speech, in three minutes",Politics,10/24/2017
Sanders on the media: 'I've never been attacked more',Politics,10/24/2017
Trump surveys Senate Republicans on Fed pick,Politics,10/24/2017
"GOP senators’ struggle: Speak out against Trump, or achieve something for their silence",Politics,10/24/2017
"Deficits, schmeficits: House conservatives cast aside fiscal warnings to make way for tax cuts",Politics,10/24/2017
Flake speaks to reporters after announcing plan to retire,Politics,10/24/2017
Democrats face risks and opportunity with Flake’s exit,Politics,10/24/2017
"‘Dangerous,’ ‘utterly untruthful’: Two retiring GOP senators sound alarm on Trump",Politics,10/24/2017
Senate intel committee wants court approval to use Americans’ information in FBI cases,Politics,10/24/2017
Clinton’s campaign helped fund the research that led to the Russia dossier,Politics,10/24/2017
We know it goes on' : The sexual harassment problem in Congress,Politics,10/24/2017
Fact Check: Has Trump done more than Obama to fight ISIS?,Politics,10/25/2017
Trump's claim that he's done more 'by far' than Obama in the fight against ISIS,Politics,10/25/2017
Trump is proud of the booming stock market. He may not realize how few Americans that really helps.,Politics,10/25/2017
The Clinton camp and the DNC helped pay for that Trump-Russia dossier: Here's what it means.,Politics,10/25/2017
Jeff Flake thinks Trumpism is a 'fever' that will break. Don't be so sure.,Politics,10/25/2017
The Daily 202: Flake and Corker feel liberated to speak their minds. That should terrify Trump.,Politics,10/25/2017
Here’s what Sen. Jeff Flake’s retirement foretells about 2018,Politics,10/25/2017
"Trump punches back at Flake and Corker, claims a 'love fest' of support in Senate",Politics,10/25/2017
The Finance 202: GOP feuding doesn't spell doom for tax overhaul,Politics,10/25/2017
The Health 202: Trump is now the one holding up a health-care bill,Politics,10/25/2017
Jeff Flake's retirement speech reads like an indictment of Trump supporters — and GOP leadership,Politics,10/25/2017
The Energy 202: Tax debate opens door for renewables to get same break as fossil fuels,Politics,10/25/2017
Hillary Clinton's disingenuous dossier outrage,Politics,10/25/2017
Bannon has proven more adept at claiming credit for victories than at winning them,Politics,10/25/2017
Democrats pitch Medicaid 'public option' for states,Politics,10/25/2017
National anthem protests are becoming more popular. You can thank Donald Trump.,Politics,10/25/2017
"After Charlottesville, things began to change for Trump's GOP critics in the Senate",Politics,10/25/2017
"No, Lis Wiehl has not 'fully retracted all of her allegations' against Bill O'Reilly",Politics,10/25/2017
Trump who? Republicans seem to be totally ignoring Trump on taxes,Politics,10/25/2017
Republicans are whistling past their own Trump-inspired civil war,Politics,10/25/2017
What the Trump dossier says - and what it doesn't,Politics,10/25/2017
"With business booming under Trump, private prison giant gathers at president’s resort",Politics,10/25/2017
GOP’s insurgents step up campaign against McConnell,Politics,10/25/2017
"Trump says the media unfairly portrays him as uncivil, which he's not because he 'went to an Ivy League college'",Politics,10/25/2017
"Trump undercuts widow again, says he remembered name ‘right from the beginning’",Politics,10/25/2017
A Los Angeles-Houston World Series in record heat is a little on-the-nose for 2017,Politics,10/25/2017
Trump: ‘I am the builder president’,Politics,10/25/2017
Enough is enough.’ Congressman demands answers from DEA on opioid crisis,Politics,10/25/2017
"Trump set to make opioid announcement, victims of crisis want action not more words",Politics,10/25/2017
Trump’s full meeting with Texas officials about Hurricane Harvey recovery,Politics,10/25/2017
GOP leaders make last-minute push for unity on taxes ahead of critical vote,Politics,10/25/2017
I am the builder president': Trump goes to Texas and gets a much-needed ego boost,Politics,10/25/2017
Please read this before you freak out about that new poll in the Virginia governor's race,Politics,10/25/2017
Trump in Texas: 'I'm the builder president. Remember that.',Politics,10/25/2017
"Former Clinton, DNC aides largely silent on funding of Trump-Russia dossier",Politics,10/25/2017
Fact Check: Do immigration lawyers encourage 'false claims of asylum?',Politics,10/25/2017
Sessions’s claim that ‘dirty immigration lawyers’ encourage clients to cite 'credible fear',Politics,10/26/2017
The Daily 202: The GOP civil war is bigger than Trump. A new study shows deep fissures on policy.,Politics,10/26/2017
Natural disasters damage victims' goals and ambitions — which is why disaster relief is so important,Politics,10/26/2017
The Finance 202: House Republicans scramble to pave way for tax overhaul,Politics,10/26/2017
Trump plans to declare the opioid crisis a public health emergency,Politics,10/26/2017
The Energy 202: GOP lawmakers want more Alaska drilling. The Trump administration isn't waiting.,Politics,10/26/2017
"Booker, Graham and Elias expected to testify today in Menendez corruption trial",Politics,10/26/2017
The Health 202: Trump administration's relationship with Obamacare: It's complicated.,Politics,10/26/2017
Understanding shifts among evangelicals helps explain Flake's drop in support,Politics,10/26/2017
"On health care, Republicans praise Trump’s success but blame Congress’s failures",Politics,10/26/2017
"House narrowly passes budget, paving way for $1.5 trillion tax cut",Politics,10/26/2017
Trump flubs another promise: Declaring the opioid crisis a 'national emergency',Politics,10/26/2017
Where in the world is Ed Gillespie?,Politics,10/26/2017
"Mark Halperin, accused of sexual harassment, once said there was 'nothing illegal' about Trump's alleged groping",Politics,10/26/2017
Flake says he won’t endorse Moore,Politics,10/26/2017
No network has interviewed Trump more than Fox. Here's what they've asked him.,Politics,10/26/2017
