headline,date
"""@SMW5683: @realDonaldTrump Donald trump will do this country  good! He is a businessman &amp; will know how to grow our economy""",6/19/2015
Just watched Brian Williams on @TODAYshow - very sad! Brian should get on with a new life and not start all over at @msnbc. Stop apologizing,6/19/2015
"""@williamonlyrent  Why is government run by politicians? It's a huge business and needs a businessman to run it successfully! #Trump2016""",6/19/2015
"""@theHickMan33 Let's get the Trump trending #MakeAmericaGreatAgain #TheDonIsComing #TrumpCard #Vets4Trump""",6/19/2015
"""@llambert0207 I've always said the Country needs to be run like a Major Corporation it takes a Brilliant Businessman #power #donaldtrump""",6/19/2015
Goofy political pundit George Will spoke at Mar-a-Lago years ago. I didn’t attend because he’s boring &amp; often wrong—a total dope!,6/19/2015
"George Will was a big Iraq fool.  $2 trillion, thousands of lives lost -- &amp; we got nothing! Dummy.",6/19/2015
Has Charles @krauthammer ever apologized for being so totally wrong on Iraq? I called it right in every way—Make America Great Again!,6/19/2015
Hillary Clinton reaches new low. #TrumpVlog https://t.co/kgmQ2jVF6b,6/19/2015
Stop saying I went bankrupt. I never went bankrupt but like many great business people have used the laws to corporate advantage—smart!,6/19/2015
People buy deals &amp; immediately put them into bankruptcy in order to make better deals. It’s a very effective &amp; commonly used business tool.,6/19/2015
"Almost every major dealmaker has used the bankruptcy laws as a business tool. Icahn, Black, Zell—but nobody says they went bankrupt!",6/19/2015
"Out of hundreds of deals &amp; transactions, I have used the bankruptcy laws a few times to make deals better. Nothing personal, just business.",6/19/2015
"Via @WashTimes by @CharlesHurt: ""Donald Trump declares war on lying, street-hustlers of Congress”
  http://t.co/IonH0WEDEs",6/19/2015
Our country is in a major crisis of incompetent leadership. We cannot continue to go on with these politicians who do nothing but talk.,6/19/2015
"""@stevenkirk @realDonaldTrump @PatrickBuchanan great article .. At least #thedonald is finally saying what us average working people know!""",6/19/2015
Why did @DanaPerino beg me for a tweet (endorsement) when her book was launched?,6/20/2015
"I like Mexico and love the spirit of  Mexican people, but we must protect our borders from people, from all over, pouring into the U.S.",6/20/2015
Mexico is killing the United States economically because their leaders and negotiators are FAR smarter than ours. But nobody beats Trump!,6/20/2015
"Druggies, drug dealers, rapists and killers are coming across the southern border. When will the U.S. get smart and stop this travesty?",6/20/2015
"""@bobbybnews: The only person running for President that will not betray America  for money is Donald Trump. Fox is cutting him down=Reagan!",6/20/2015
"""@andrewwagner29: Its pretty clear that @realDonaldTrump would absolutely destroy HillaryClinton in a debate &amp; i really wanna see it happen.",6/20/2015
"""@Tea_Alliance: @realDonaldTrump @bobbybnews The establishment fears Trump!"" They are afraid to make America great again.",6/20/2015
"""@njoh1234: @realDonaldTrump Trump speech is on C-span right now...f.y.i.""",6/20/2015
My speech is right now on C-SPAN 1,6/20/2015
Thank you @AnnCoulter for your nice words. The U.S. is becoming a dumping ground for the world. Pols don't get it. Make America Great Again!,6/21/2015
"""@BreitbartVideo: .@AnnCoulter: Trump Has Best Shot in General Election http://t.co/Vf6c5kvrcn via @IanHanchett http://t.co/GOQTWZhjAM""",6/21/2015
"""@SenzuLean: America should be so lucky to have @realDonaldTrump even consider leading our nation"" Thank you.",6/21/2015
"Who would you rather have negotiating for the U.S. against Putin, Iran, China, etc., Donald Trump or Hillary? Is there even a little doubt?",6/21/2015
"""@Riggs101: Carl Icahn: Donald Trump Is Completely Correct That ""We Are In A Bubble Like You've Never Seen Before""",6/21/2015
"""@sugarhoney157: @realDonaldTrump He really is a great business man and gets the job done right."" So true!",6/21/2015
"""@NishantAgg23: Donald Trump is the only hope for a crumbling American economy. Hope my American friends choose Trump""",6/21/2015
"""@I_Dont_Know_Her: @realDonaldTrump you are the best candidate for president in a long time. Hope you win"" Thanks.",6/21/2015
"""@nytimes: If you’re a betting man, it’s time to start believing Donald Trump http://t.co/YGeFcDz6Vo""",6/21/2015
"Via @nypost by @JonathonTrugman: ""Donald Trump’s resume backs his run for president"" http://t.co/mDKEOW9vrf",6/21/2015
Happy Father's Day to all! I had a wonderful and loving father. https://t.co/SdrRctSxhu,6/21/2015
"Via @BreitbartNews by @ASwoyer: ""Exclusive: Trump Slams Obamatrade, Stands Up For American Jobs""
http://t.co/kE5pjagvtq",6/21/2015
".@KarlRove, who spent $430 million in the last cycle and didn't win one race, said I'm not a candidate until I file papers. Next week Karl!",6/21/2015
"""@BK00023: Donald Trump's resume backs his run for president http://t.co/KXJPyRPK67 @realDonaldTrump #greta @ThisWeekABC"" Thank you, so true",6/21/2015
"""@CandyThomas3583: @realDonaldTrump I tend to vote for democratic candidates, but I feel excited about you in the presidential race. 😊""",6/21/2015
"""@utwey: @realDonaldTrump @KarlRove can't wait for debates! DT will crush them"" Could happen!",6/21/2015
.@MarthaRaddatz was so unprofessional and biased when discussing me on This Week. @GStephanopoulos should not allow this conduct!,6/21/2015
"The great Mike Wallace covered me in a much more professional manner than his son, Chris Wallace of @FoxNews. Mike was a total pro!",6/21/2015
"""@JakeKonczyk: @realDonaldTrump @KarlRove The best candidate! #GotMyVote #MakeAmericaGreatAgain""",6/22/2015
"""@Auburnfan2155: @realDonaldTrump @KarlRove Karl Rove destroyed the Republican Party. Time to rebuild it."" True!",6/22/2015
.@KarlRove stated clearly that he wants to repeal the 2nd Amendment. I thought @FoxNews was going to fire that jerk after his Romney fiasco?,6/22/2015
"""@TeamBobbyEwing:  @foxnews @karlrove I am stunned that Rove would suggest repealing the #2A! That will not solve the problem, IMO!""",6/22/2015
.@KarlRove still thinks Romney won! He doesn't have a clue! @FoxNews,6/22/2015
"""@shawncrazyshawn: I have Loved you since Wrestlemania when I was kid. I grew up &amp; see what you're all about. I am behind you ALL the way!""",6/22/2015
"""@hyannis1952: @realDonaldTrump @FoxNews Believe they are worried you may win!",6/22/2015
"""@JPJAC: @realDonaldTrump @FoxNews Why is it that FOX loved you until you declared as a candidate???""  Good question!",6/22/2015
"""@joncford: @realDonaldTrump @TeamBobbyEwing @FoxNews @KarlRove I'm just about done with Fox news!""",6/22/2015
"""@IsaacNewYorker: Finally somebody with real intelligence &amp; leadership is runnig for president Mr @realDonaldTrump. #MakeAmericaGreatAgain""",6/22/2015
"""@pbstwo: @realDonaldTrump @hyannis1952 @FoxNews The Donald owes NOTHING to lobbyists. He could restore our Republic."" True.",6/22/2015
"""@Alaskan_Gypsy:  @FoxNews @seanhannity indicated he would support you if you ran. Let's see if he puts his money where his mouth is!",6/22/2015
"""@kirkcameronfan: @realDonaldTrump @FoxNews Because they're AFRAID of you! #Trump2016 #American""",6/22/2015
"""@lauralynn1955: @realDonaldTrump - @oreillyfactor loves you. It was obvious to me when you were on the day you announced."" Bill O is great.",6/22/2015
"""@IsaacNewYorker: I said when Trump ran for president i was gonna be the happiest man on earth,when he wins,all Americans will be #Trump16""",6/22/2015
"""@sallyvp: @realDonaldTrump Mr. Trump tell America they are fired! Bring some respect and balls back to the USA.""",6/22/2015
"""@JakeAwK: Donald Trump is the ONLY candidate that is incorruptible and he will get rid off all of the incompetence ruining our country.",6/22/2015
"""@Jessyandcandy: Trump,  you got my vote. With your proven resume os success. People would be nuts not to vote for you. Trump2016""",6/22/2015
"""@cota2012: @realDonaldTrump @hyannis1952 @FoxNews it's amazing how people fear a change for the better""",6/22/2015
"Sadly, I will no longer be doing @foxandfriends at 7:00 A.M. on Mondays. This is because I am running for president and law prohibits. LOVE!",6/22/2015
"I want to thank Elizabeth, Steve, Brian and all of the great folks of @foxandfriends for the long and successful run we had together. NICE!",6/22/2015
"""@williamonlyrent @realDonaldTrump Only a fool will underestimate #Trump2016. Trump will surprise everybody and America needs him.""",6/22/2015
.@deneenborelli  Thank you for your nice words--greatly appreciated.,6/22/2015
Thank you. https://t.co/l4g1VmXsCn,6/22/2015
"""@SovAdjEast  The USA is like Wollman Rink or Ferrypoint before DJT. You came you saw and built a masterpiece. Now it's the USA' s turn.""",6/22/2015
"""@carsonbonner @realDonaldTrump A businessman that understands the world's business/politics. #Trump2016""",6/22/2015
"""Hillary Clinton Dominates the Pack in Fake Twitter Followers"" http://t.co/e16f6FM8uQ",6/22/2015
.@JordanSpieth  Great job--you are a true champion! See you soon.,6/22/2015
"""@AbishurPrakash  My latest piece on @realDonaldTrump winning the foreign policy race. #Trump2016 https://t.co/vzLZgJOEQC …""",6/22/2015
It's time for government to stop picking winners &amp; losers. Let’s make sure everyone can achieve the American dream! https://t.co/u25yI5T7E8,6/22/2015
Who do you want negotiating for us? #MakeAmericaGreatAgain https://t.co/WASlyxbG1j,6/22/2015
Flashback – Jeb Bush received a $4M tax payer bailout in 1990 http://t.co/R2bpNbRQRX  Guess who was POTUS then?,6/22/2015
The Senate must NOT pass TPA! Any Senator who votes for it is disqualified for being POTUS. Protect the American worker and manufacturer!,6/22/2015
Entrepreneurs: Negotiation is an art. Treat it like one.,6/22/2015
"Entrepreneurs: Be tough, be smart, be personable, but don't take things personally. That's good business.",6/22/2015
Entrepreneurs: Brainpower is the ultimate leverage. Don't underestimate yourself or your possibilities.,6/22/2015
.@DanaPerino  Have you released a copy of the beautiful thank you card you sent me? Would you like to see it? @ericbolling @kimguilfoyle,6/22/2015
"""@nojoed: @realDonaldTrump @KarlRove Karl, why don't you sit this election cycle out, we had enough losers to last us a life time."" True.",6/22/2015
True. https://t.co/wjffOyAxZM,6/22/2015
"""@MalachiNorris: Donald J. Trump is the very definition of the American success story. Through Trump we can bring back the American dream.""",6/22/2015
"""@luckydoginwesty: @realDonaldTrump @FL_GIRL979 I'll be voting for Mr. Trump""",6/22/2015
"""@troubic  I'm definitely voting for @realDonaldTrump I would love to see what a real businessman can do for our economy!""",6/22/2015
Today I filed my Statement of Candidacy with the FEC. Let's #MakeAmericaGreatAgain https://t.co/DB4q4J2gKn,6/22/2015
"Via @bpolitics by @emtitus: ”Defying Doubters, Donald Trump Makes Presidential Bid Official” http://t.co/Cjz7p3hFPX",6/22/2015
"""@MeaganShamy: .@ScottFordTVGuy @BrandenHarvey I was at @TrumpLasVegas when @realDonaldTrump announced president bid. He's got my vote.",6/23/2015
"""@_bri: This is the first election I'll be able to vote, and my vote goes to Trump because I want to live in a great country! #Trump2016""",6/23/2015
"""@williamonlyrent So sick of politicians sugar coating problems and issues. It will be so great to have #Trump2016 say it like it is!""",6/23/2015
"""@WordgirlSmith @realDonaldTrump Please keep telling all of America that jobs, jobs, jobs are important to us because YOU ARE RIGHT!!!""",6/23/2015
Via @WSJPolitics by @reidepstein: “Trump Surges in Popularity in N.H.” http://t.co/Iw6O3qhquR,6/23/2015
"""@kolbytraveller #Trump is more than just talk. I hope he wins the election and gets something done for once in this country. #Trump2016""",6/23/2015
"Via @fitsnews:“Donald Trump Surges In New Hampshire Poll: MOGUL, REALITY STAR EMERGES AS GRANITE STATE’S ‘ANTI-BUSH’ http://t.co/TqFBtG9PHc",6/23/2015
"Speaking at the Red, White and Blue Dinner in Maryland- https://t.co/TzuXN715fQ",6/24/2015
"The highly respected Suffolk University poll just announced that I am alone in 2nd place in New Hampshire, with Jeb Bust (Bush) in first.",6/24/2015
Politician @SenatorCardin didn't like that I said Baltimore needs jobs &amp; spirit. It's politicians like Cardin that have destroyed Baltimore.,6/24/2015
"""@tryeye @realDonaldTrump Very strong start, Mr. President!"" Thanks.",6/24/2015
Thank you.  https://t.co/H8ZxLh6NCd,6/24/2015
"My daughter, Ivanka, will be representing me today at the opening of our campaign office in Manchester, NH  #MakeAmericaGreatAgain!",6/24/2015
.@Neilyoung A few months ago Neil Young came to my office looking for $$ on an audio deal &amp; called me last week to go to his concert. Wow!,6/24/2015
"For the nonbeliever, here is a photo of @Neilyoung in my office and his $$ request—total hypocrite. http://t.co/Xm4BJvetIa",6/24/2015
".@Neilyoung’s song, “Rockin’ In The Free World” was just one of 10 songs used as background music. Didn’t love it anyway.",6/24/2015
"""@barbgee68: @realDonaldTrump Excellent! I still can't believe voters have Jeb in front of you. Haven't Americans learned anything?""  NO!",6/24/2015
"""@MarkAGiarrusso: @realDonaldTrump Go get 'em Donald.""",6/24/2015
"""@LionsTrinityCap: @realDonaldTrump UNMATCHED PRESIDENTIAL CAMPAIGN...Trump RESTORES America's credit rating to AAA in 3-4 yrs.",6/24/2015
"""@adeeasthope: @realDonaldTrump I'm voting for #trump for CEO of these United States, time to haul ass #Trump2016"" Great.",6/24/2015
"""@_laurenharding: @realDonaldTrump not to mention that there's a whole lot of people who never got asked (me included)!!! #Trump2016""  Cute.",6/24/2015
Uncomfortable looking NBC reporter Willie Geist calls me to ask for favors and then mockingly smiles when he is told of my high poll numbers,6/25/2015
"Just out, the new nationwide @FoxNews poll has me alone in 2nd place, closely behind Jeb Bush-but Bush will NEVER Make America Great Again!",6/25/2015
"I am really beginning to respect Mark Halperin and John Heilemann as political reporters - they truly get why ""Trump"" poll numbers are high.",6/25/2015
The ratings for The View are really low. Nicole Wallace and Molly Sims are a disaster. Get new cast or just put it to  sleep. Dead T.V.,6/25/2015
".@WhoopiGoldberg had better surround herself with better hosts than Nicole Wallace, who doesn't have a clue. The show is close to death!",6/25/2015
"My daughter Ivanka did great tonight in New Hampshire. The sold out crowd loved her, and she loved them. Thanks Ivanka!",6/25/2015
"My message, MAKE AMERICA GREAT AGAIN, is beginning to take hold. Bring back our jobs, strengthen our military and borders, help our VETS!",6/25/2015
"""@MunichEleven: Baseball, Hotdogs, Apple Pie and a vote for @realDonaldTrump in 502 days! On 11/08/2016 we make our country great again!""",6/25/2015
"""@DanielaMarino: @FoxNews enough with #Bush #Clinton and the same faces every damn year. We need fresh new ppl that r not greedy. U r d one""",6/25/2015
"""@TaraHollyFigure: @realDonaldTrump we are counting on you, Mr. Trump. I believe you are the answer to #MakeAmericaGreatAgain""",6/25/2015
"""@nickcokley: @realDonaldTrump my first vote ever will be for one of the most historic businessmen in history.",6/25/2015
We have to bring back and cherish the middle class - once the backbone and true strength of the U.S.A. It can happen!,6/25/2015
"""@_GOLD4MONEY: @ThePatriot143  @realDonaldTrump Trump is as Honest as they come. He wants a border and doesn't hide it. #Trumpforpresident""",6/25/2015
"""@Mitestarossa: Jeb Bush should support Donald Trump for President"" I agree!",6/25/2015
"I hear that dopey political pundit, Lawrence O'Donnell, one of the dumber people on television, is about to lose his show-no ratings?Too bad",6/25/2015
"""@gneumann_wkow: New national 2016 GOP poll from @FoxNews - @JebBush leads field, @realDonaldTrump second.  http://t.co/qRW1iWucRu""",6/25/2015
Governor Rick Scott of Florida did really poorly on television this morning. I hope he is O.K.,6/25/2015
"""@nanaelaine7 @realDonaldTrump only YOU can make it GREAT again. Your plan is the only one inside reality. MAKE AMERICA GREAT with TRUMP""",6/25/2015
"""@JWCesare   I appreciate @realDonaldTrump and his straight talk.  Our country needs this.""",6/25/2015
Mexican gov doesn't want me talking about terrible border situation &amp; horrible trade deals. Forcing Univision to get me to stop- no way!,6/25/2015
Univision wants to back out of signed @MissUniverse contract because I exposed the terrible trade deals that the U.S. makes with Mexico.,6/25/2015
"I love Mexico but not the unfair trade deals that the US so stupidly makes with them. Really bad for US jobs, only good for Mexico.",6/25/2015
Once again the Bush appointed  Supreme Court Justice John Roberts has let us down. Jeb pushed him hard! Remember!,6/26/2015
Anyone who wants strong borders and good trade deals for the US should boycott @Univision.,6/26/2015
.@Univision cares far more about Mexico than it does about the U.S.  Are they controlled by the Mexican government?,6/26/2015
"If I win the presidency, my judicial appointments will do the right thing unlike Bush's appointee John Roberts on ObamaCare.",6/26/2015
Letter to @Univision - Re: @TrumpDoral https://t.co/6mauCmg6uO,6/26/2015
"""@Bass705: @realDonaldTrump Thank you Mr.Trump for standing up for America"" My great honor!",6/27/2015
"""@RobRucker: ""The greatest social program is a job"" -Donald Trump""",6/27/2015
"When somebody challenges you unfairly, fight back - be brutal, be tough - don't take it. It is always important to WIN!",6/27/2015
"When you are in a war, or even a battle, losing is not an option!",6/27/2015
".@billmaher: Bill, you are really beginning to understand what is going on with ""Trump"" - actually, you always knew!",6/27/2015
Only very stupid people think that the United States is making good trade deals with Mexico.Mexico is killing us at the border and at trade!,6/27/2015
The leader and negotiators representing Mexico are far smarter and more cunning than the leader and negotiators representing the U.S.!,6/27/2015
"I'll be in Iowa tonight making a speech to a record setting crowd. The word is getting out, MAKE AMERICA GREAT AGAIN!",6/27/2015
"""@tonyewen: @ReaganWorld @realDonaldTrump is the real deal! When was the last time we had someone with true conviction for US?",6/27/2015
"""@Chris_D2: @realDonaldTrump go get em!! How does it feel to be the ""next"" POTUS? #Trump2016"" Thanks for the spirit!",6/27/2015
"""@TheReaLJuiCe88: I'm working real hard Mr Trump getting you votes in Boston/Rhode island area! #IBelieve #MakeAmericaGreatAgain #Trump2016""",6/27/2015
"A great article by @NolteNC
spelling out the truth on Mexico, trade, the border &amp; illegals. Thank you @BreitbartNews http://t.co/oJnV2OXcEc",6/27/2015
"Must read article via @fitsnews: ""DONALD TRUMP VERSUS MEXICO"" http://t.co/tdjtvtB6NB",6/27/2015
Addressing record crowd @ Madison County Iowa GOP Dinner. We can bring common sense to DC &amp; Make America Great Again! http://t.co/mI7j7XDzOY,6/28/2015
"""@incorrectpoliti: Establishment Government, Media, and Hollywood are killing America. MAKE AMERICA GREAT AGAIN ! @realDonaldTrump",6/28/2015
"""@GovtsTheProblem: The appeal of Donald Trump to people is that he's a fighter, not a Republican surrender monkey.""",6/28/2015
"""@joseangelSP500: @realDonaldTrump Trump for President! TRUMP2016!""",6/28/2015
"""@DeanDesign101: Why not @realDonaldTrump? He knows how to create wealth, jobs and is not a wimp. #DonaldTrump #foxandfriends""",6/28/2015
"""@johnmarzan: @RubenNavarrette Trump is right. Giving illegals the right to vote will destroy the GOP and turn dems into dominant party""",6/28/2015
"""@GZervs: @realDonaldTrump is Americas only chance. He will #MakeAmericaGreatAgain""",6/28/2015
"""@bucwaas: @realDonaldTrump please get elected! Be the next Reagan! You can do it!"" Thanks!",6/28/2015
"""@StephPrichard1:  @RealDonaldTrump GOP: Trump's Fearless War with Univision Only Increases His Appeal - Breitbart http://t.co/oJnV2OXcEc""",6/28/2015
"""@davidco71875026: @realDonaldTrump @GovtsTheProblem You say what the working people are thinking. Proud to support you. Don't back down !""",6/28/2015
"""@oates_tom: @realDonaldTrump congrats on running! You tell it like it is.....which is rare.""",6/28/2015
"""@jamesgo31991021: @realDonaldTrump @johnmarzan @RubenNavarrette Donald trump is the man"" Thanks.",6/28/2015
"""@NYCStadsliv: @realDonaldTrump @StephPrichard1 You have my vote Mr. Trump, give 'em hell.  I will.",6/28/2015
"""@mjh811: @realDonaldTrump @oates_tom You are the only one with guts. We need that!! Have my vote!""  Great.",6/28/2015
"""@JasonKoster17: In @realDonaldTrump we trust.. #MakeAmericaGreatAgain""",6/28/2015
"""@FreedomHaawk: @realDonaldTrump Don't let them try to school you, or try to rearrange you, you have a mind of your own.STAY SHARP."" I will!",6/28/2015
"""@WGinetta: @CNNSotu THE @realDonaldTrump &amp; @BernieSanders ARE DOING WELL CUZ THE PPL R DISGUSTED WITH #CORRUPT POLITICIANS",6/28/2015
"""@trapman2000: RT @Deaf_Dwayne: @realDonaldTrump Thanks for not being politically correct! America needs the truth.",6/28/2015
"""@DattiJulia: @realDonaldTrump I did not like you before but watching your interview on CNN, you are the man.""",6/28/2015
"""@Samstwitch: Bill O'Reilly's interview with Trump:Q&amp;A over what Trump would do as President!Definitely has my vote! https://t.co/tDGDGUJLs2",6/28/2015
"""@usplaymoney: DonaldTrump @beny_benson He would be a leader because he is used to being the boss. Wont be bought like politicians either""",6/28/2015
"""@HCannonball: Everybody get on the Trump Train!! It's a First Class One-Way ticket to the White House with @realDonaldTrump #Trump2016""",6/28/2015
"""@tonyschiano: Unlike #Obama....he can think outside the box! #Trump2016 ~ @usplaymoney @realDonaldTrump @beny_benson""",6/28/2015
"""@incorrectpoliti: Oh My are they starting to WAKE UP. MAKE AMERICA GREAT AGAIN! We must save America ELECT @realDonaldTrump",6/28/2015
"""@itsEmilyshine: @realDonaldTrump would be the best president 🙌🏻🙌🏻🙌🏻 #DonaldTrumpforPresident""",6/28/2015
"""@Knight276: @realDonaldTrump @HCannonball not being a career politician is an asset. I'm on board trump can make America great again.",6/28/2015
Will be in Chicago tomorrow for a record setting (by far) luncheon.,6/28/2015
Via @thehill by @martinmatishak: “Trump: ‘We look like we’re beggars’ in Iran nuclear talks” http://t.co/z8RpCnuGN1,6/28/2015
See story in Fusion and Huff. Post about rape at the border. Beyond terrible! Isn't Fusion owned by Univision?,6/28/2015
"""@RSan: Donald Trump's Polling Looks too Good to Be True.",6/28/2015
".@NYDailyNews, the dying tabloid owned by dopey clown Mort Zuckerman, puts me on the cover daily because I sell. My honor, but it is dead!",6/28/2015
Univision apologized to me but I will not accept their apology. I will be suing them for a lot of money. Miss U.S.A. contestants are hurt!,6/28/2015
".@jorgeramosnews Please send me your new number, your old one’s not working. Sincerely, Donald J. Trump",6/29/2015
"""@DynamyteBeats: @realDonaldTrump is the only choice for 2016. #MakeAmericaGreatAgain"" Thank you.",6/29/2015
"""@Jaguar11d: @realDonaldTrump Have a great time in Chicago today. You are the best person for the job""",6/29/2015
"""@KEEMSTARx: Mexican criminals coming into USA? YES Did Trump say we need to stop them? YES Did he say Mexicans are good? YES Racism? NO""",6/29/2015
"""@KEEMSTARx: Wait Mhndz,  you have 5 mins to prove to me that @realDonaldTrump "" doesn't support the latinos "" if u do i'll paypal u $1k.""",6/29/2015
"""@KevinGalyon: @realDonaldTrump i support donald trump for president. He is a great leader"" Thank you.",6/29/2015
"""@MalachiNorris: I sure don't trust any other politicians running to be President except @realDonaldTrump #MakeAmericaGreatAgainThroughTrump",6/29/2015
